072420.75   +420900.6  2MASX J07242070+4209004       2193308  108110  0.057               SB        (r,bl)        Sab    2  1.00  SB(r,bl)ab:
090800.04   +314005.6  2MASX J09080001+3140055       1958331   83734  0.063               SA        (_rs)         S0/a   0  0.00  SA(_rs)0/a
090820.81   +395236.9  2MASX J09082077+3952374       3454634   50371  0.085  (RL)         S_AB                    S0+   -1  0.25  (RL)S_AB0^+^:
090825.74   +351133.9  2MASX J09082576+3511335       3454651   72926  0.087  (R2P)        SAB_a     (irpl)        Sb     3  0.50  (R2P)SAB_a(irpl)b
090828.21   +183852.3  SDSS J090828.20+183852.2          ---  156087  0.084               SA        (r)           Sab    2  0.00  SA(r)ab: pec
090828.44   +285439.8  CGCG 151-013                    25709  226516  0.021  (R)          SB_a0                   S0+   -1  1.00  (R)SB_a0^+^
090845.76   +553021.0  CGCG 264-065                    25723    7084  0.048               SA        (rs)          Sa     1  0.00  SA(rs)a pec
090847.54   +295153.2  NGC 2766                        25735  115891  0.014  (R1R2P)      S_AB      (r)           Sa     1  0.25  (R1R2P)S_AB(r)a
090856.92   +521548.3  CGCG 264-066                    25738  194675  0.061               SA        (_rs)         Sb     3  0.00  SA(_rs)b pec
090904.74   +200550.3  CGCG 091-005                    25767  157175  0.028  (R1R2P)      SB_a      (rl)          S0/a   0  1.00  (R1R2P)SB_a(rl)0/a
090916.96   +520438.7  SDSS J090916.95+520438.6          ---  193217  0.062               SA_B      (_rs)         Sa     1  0.75  SA_B(_rs)a
090920.29   +154822.1  2MASX J09092032+1548208         25779  185714  0.029  (R1)         SA        (r)           Sab    2  0.00  (R1)SA(r)ab
090920.45   +004419.5  2MASX J09092046+0044193       1174153  244585  0.054  (R)          SA        (l)           S0+   -1  0.00  (R)SA(l)0^+^
090922.55   +154746.2  IC 0528                         25783  167584  0.013  (R1)         SA        (r)           Sab    2  0.00  (R1)SA(r)ab
091002.90   +225106.4  IC 2441 NED02                     ---  148438  0.038               SB        (_rs)         Sa     1  1.00  SB(_rs)a
091007.31   +573728.0  2MASX J09100737+5737279       3738727    8986  ---    (R2P)        SAB       (l)           Sab    2  0.50  (R2P)SAB(l)ab
091008.21   +144734.2  2MASX J09100819+1447348       1467327  166029  0.077  (RP)         SA        (l)           Sa     1  0.00  (RP)SA(l)a
091011.13   +202050.5  2MASX J09101112+2020507       3738746  235806  0.133               SAB       (rs)          S0+   -1  0.50  SAB(rs)0^+^:
091013.83   +281137.7  2MASX J09101385+2811380       1828932  121350  0.104  (RP)         SB        (r)           Sb     3  1.00  (RP)SB(r)b pec
091020.12   +070216.6  NGC 2775                        25861   74171  0.004               SA        (r_d,r,l)     S0/a   0  0.00  SA(r_d,r,l)0/a
091045.28   +491515.8  2MASX J09104531+4915160       2337730   34255  0.119  (R2P)        SA_B      (s)           Sb     3  0.75  (R2P)SA_B(s)b
091055.97   +154840.6  2MASX J09105594+1548407       3738899  167587  0.090  (R1R2P)      S_AB      (l)           Sa     1  0.25  (R1R2P)S_AB(l)a:
091102.73   -015910.1  2MASX J09110270-0159099       1104724  199157  ---    (R2P)        SAB       (l)           Sb     3  0.50  (R2P)SAB(l)b:
091118.95   +462307.3  2MASX J09111899+4623069       2280294   48112  0.103  (R)          S_AB      (l)           S0+   -1  0.25  (R)S_AB(l)0^+^
091130.12   +142721.1  2MASX J09113009+1427207       3739019  186938  ---                 SAB       (rs)          Sab    2  0.50  SAB(rs)ab: pec
091131.70   +413234.3  2MASX J09113166+4132343       3455196   50780  0.092  (R)          SA        (l)           S0+   -1  0.00  (R)SA(l)0^+^:
091136.22   +534913.5  2MASX J09113621+5349134       2451736  194956  0.081  (RP)         SA        (s)           Sa     1  0.00  (RP)SA(s)a
091138.39   +025459.8  2MASX J09113835+0255001       1240799  195391  0.051  (RPL)        SAB       (r)           Sa     1  0.50  (RPL)SAB(r)a
091141.32   +554809.6  SDSS J091141.31+554809.6      2514854    7089  0.113  (R2P)        S_AB      (l)           Sb     3  0.25  (R2P)S_AB(l)b:
091206.46   +155445.2  2MASX J09120643+1554453       1496233  167593  0.071  (R1P:)       SB        (rs)          Sbc    4  1.00  (R1P:)SB(rs)bc
091224.59   +261801.8  2MASX J09122461+2618016       1770909  124021  0.079  (R)          SA                      S0/a   0  0.00  (R)SA0/a
091225.01   +484313.2  2MASX J09122504+4843130       2324047   27244  ---    (R1P)        SAB_a     (rl)          S0/a   0  0.50  (R1P)SAB_a(rl)0/a
091231.45   +150559.9  SDSS J091231.44+150559.8          ---  166032  0.113  (R2P)        SAB       (l)           Sb     3  0.50  (R2P)SAB(l)b:
091236.30   +001834.2  2MASX J09123629+0018337        153546  243793  0.054  (R1P)        SAB_a     (irpl)        Sab    2  0.50  (R1P)SAB_a(irpl)ab
091250.86   +301244.2  IC 2444                         25969  115898  0.022  (R1R2L)      SB                      Sa     1  1.00  (R1R2L)SBa
091258.02   +663520.0  2MASX J09125794+6635203       2688803  109709  0.087  (RL)         SB                      S0+   -1  1.00  (RL)SB0^+^
091322.85   +441144.4  SDSS J091322.85+441144.3      4193292   45641  ---    (R1L)        SAB       (l)           S0+   -1  0.50  (R1L)SAB(l)0^+^
091334.04   -001509.6  2MASX J09133402-0015095        135715    5253  0.070  (RL)         SAB       (l)           S0+   -1  0.50  (RL)SAB(l)0^+^
091412.76   +164432.4  UGC 04864                       26037  185788  0.028  (RP)         SA        (rs,rs,l)     Sb     3  0.00  (RP)SA(rs,rs,l)b
091413.06   +430806.0  KUG 0910+433                    26038  204951  0.014  (R_L)        SAB       (_rs)         Sab    2  0.50  (R_L)SAB(_rs)ab
091417.69   +221631.5  CGCG 121-040                    26041  150833  0.027  (RP,L)       SA        (r)           Sa     1  0.00  (RP,L)SA(r)a
091436.95   +323421.5  2MASX J09143697+3234213       2003084  207086  0.049  (RP)         SA        (l)           Sa     1  0.00  (RP)SA(l)a
091447.28   +115415.3  2MASX J09144731+1154157       1400612  187415  0.030  (RP,R1L)     SAB       (r)           Sb     3  0.50  (RP,R1L)SAB(r)b
091512.74   +243331.1  2MASX J09151271+2433309       1710272  149400  0.035  (RL:)        S_AB      (r)           S0+   -1  0.25  (RL:)S_AB(r)0^+^
091515.11   +174608.3  CGCG 091-035                    26103  236026  0.032  (R)          SA_B      (l)           S0o   -2  0.75  (R)SA_B(l)0^o
091520.48   +411918.8  2MASX J09152049+4119185       3455843   50570  0.050  (R1)         SAB       (rl)          S0/a   0  0.50  (R1)SAB(rl)0/a
091520.53   +430054.4  UGC 04877                       26099   51129  0.049  (R1P)        SAB       (r)           Sb     3  0.50  (R1P)SAB(r)b
091525.96   +550334.7  2MASX J09152593+5503352       2489193    6661  0.048  (R1P)        SA        (l)           Sa     1  0.00  (R1P)SA(l)a
091531.04   +481407.7  2MASX J09153108+4814077       2313180   50181  0.100  (R2P)        SAB       (l)           Sab    2  0.50  (R2P)SAB(l)ab
091539.34   +141924.1  2MASX J09153933+1419244       1455161  186728  0.074  (R)          SAB       (l)           Sb     3  0.50  (R)SAB(l)b
091545.22   -021808.2  2MASX J09154524-0218082       1095888   29093  0.053               SA        (r)           S0+   -1  0.00  SA(r)0^+^
091547.78   +232947.1  IC 2451                         26119  148448  ---    (L)          SA_B      (_rs)         S0/a   0  0.75  (L)SA_B(_rs)0/a
091547.86   +095937.2  2MASX J09154785+0959373       2816654  215449  0.031  (R)          SAB_a     (l)           S0+   -1  0.50  (R)SAB_a(l)0^+^
091600.87   +340030.7  MCG +06-21-001                  26134   77603  0.052  (RPL)        SA        (r)           S0/a   0  0.00  (RPL)SA(r)0/a
091653.73   +471641.5  2MASX J09165369+4716410       2295448   49492  0.052  (R)          SA        (l)           S0+   -1  0.00  (R)SA(l)0^+^:
091700.17   +292103.2  CGCG 151-045                    26210  114677  0.036  (RP)         SA        (ls)          Sc     5  0.00  (RP)SA(ls)c
091703.39   +523733.9  2MASX J09170335+5237342       2419611  193117  0.025               SAB_a     (rs)          Sa     1  0.50  SAB_a(rs)a:
091710.44   +404445.7  2MASX J09171047+4044455       2170306   55745  0.061  (R1R2P)      SAB_a     (l)           Sa     1  0.50  (R1R2P)SAB_a(l)a
091725.19   -020531.7  2MASX J09172522-0205321       1101952  199168  0.055  (R1P)        SA        (r)           Sb     3  0.00  (R1P)SA(r)b
091741.78   +265543.4  CGCG 151-050                    26243  124029  0.046  (R2P)        S_AB      (irpl)        S0/a   0  0.25  (R2P)S_AB(irpl)0/a
091742.04   +035717.1  2MASX J09174202+0357176       3355098   26115  0.088  (R1P)        S_AB      (irpl)        Sb     3  0.25  (R1P)S_AB(irpl)b
091756.23   +343033.5  CGCG 181-007                    26261   78701  0.024               SA        (rs)          Sab    2  0.00  SA(rs)ab
091759.03   +202746.9  CGCG 121-052                    26262  156854  0.030  (R2)         SA        (irpl)        S0+   -1  0.00  (R2)SA(irpl)0^+^
091802.44   +201754.3  2MASX J09180244+2017541       1623094  156853  0.029  (R2P)        SAB_a     (irpl)        S0/a   0  0.50  (R2P)SAB_a(irpl)0/a
091807.79   +065815.9  2MASX J09180780+0658159       1311178   74101  0.055  (R1)         SB_a      (l)           S0/a   0  1.00  (R1)SB_a(l)0/a
091818.84   +541143.5  2MASX J09181881+5411434       2462503  194858  0.101  (R)          SA                      S0+   -1  0.00  (R)SA0^+^:
091819.00   +333325.1  CGCG 181-008                    26285  207268  0.024  (RPL)        SAB       (irpl)        S0/a   0  0.50  (RPL)SAB(irpl)0/a
091829.54   +255806.5  2MASX J09182957+2558061       3740533  123646  0.025               SAB       (rl)          S0+   -1  0.50  SAB(rl)0^+^:
091835.26   +505654.6  2MASX J09183525+5056544         26303   27948  0.096               S_AB      (rl)          S0+   -1  0.25  S_AB(rl)0^+^:
091856.23   +402258.8  2MASX J09185622+4022591       3456430   55245  0.095  (R2P)        S_AB      (s)           Sb     3  0.25  (R2P)S_AB(s)b: pec
091857.92   +315110.8  CGCG 151-055 NED02                ---  206564  0.061  (R1P)        SAB_a     (irpl)        Sb     3  0.50  (R1P)SAB_a(irpl)b
091902.23   +261611.9  NGC 2824                        26330  127348  0.009  (RL)         SA        (rs,rs)       S0/a   0  0.00  (RL)SA(rs,rs)0/a
091910.47   +495329.2  KUG 0915+501                      ---   27444  0.035  (RP)         SAB:      (irpl)        Sa     1  0.50  (RP)SAB:(irpl)a
091910.66   +332530.2  2MASX J09191064+3325295       2031768   83956  0.023  (RL)         SA        (l)           S0+   -1  0.00  (RL)SA(l)0^+^ [d] pec
091939.40   +391752.3  2MASX J09193939+3917528       2147227   52406  0.092  (RP)         SA        (rs)          Sbc    4  0.00  (RP)SA(rs)bc pec
091940.96   -002151.3  SDSS J091940.95-002151.3          ---    5260  0.055  (R)          SAB_a     (l)           S0+   -1  0.50  (R)SAB_a(l)0^+^
092000.86   +192200.2  2MASX J09200085+1922001       1589807  235142  0.046  (RP)         SA_B      (_rs)         Sa     1  0.75  (RP)SA_B(_rs)a
092015.68   +263658.3  2MASX J09201565+2636583       1782622  123866  0.140               SA        (_rs,l)       Sa     1  0.00  SA(_rs,l)a: pec
092028.78   +185534.4  NGC 2843                        26414  160694  0.057  (RP)         SAB:                    Sa     1  0.50  (RP)SAB:a
092034.64   -002112.6  SDSS J092034.63-002112.6          ---    5261  0.167  (R2P)        SAB       (s)           Sab    2  0.50  (R2P)SAB(s)ab
092120.82   +522543.2  CGCG 264-103                    26480  194382  0.047  (R)          SAB       (s:)          Sa     1  0.50  (R)SAB(s:)a
092139.03   +554311.9  2MASX J09213906+5543112       2512044    6685  0.049  (RP)         S_AB      (l)           S0/a   0  0.25  (RP)S_AB(l)0/a
092139.77   +133000.0  2MASX J09213977+1330000       3741188  188953  0.076               SA        (r)           S0/a   0  0.00  SA(r)0/a
092204.98   +184735.2  SDSS J092204.98+184735.1      4573496  236132  0.109  (RP)         SAB       (l)           Sab    2  0.50  (RP)SAB(l)ab:
092216.01   +055021.7  2MASX J09221602+0550219       1290023   57488  0.083  (R1P)        SAB_a     (rl)          Sab    2  0.50  (R1P)SAB_a(rl)ab
092219.56   +214943.3  2MASX J09221953+2149435       1658121  151789  0.109  (R1P)        SAB       (l)           Sa     1  0.50  (R1P)SAB(l)a:
092251.82   +544950.4  2MASX J09225178+5449505       2481709  193552  0.046               SAB       (_rs)         Sab    2  0.50  SAB(_rs)ab:
092301.53   +050119.8  2MASX J09230149+0501198       3457149   56841  0.143  (RP)         S_AB      (l)           Sb     3  0.25  (RP)S_AB(l)b:
092318.01   -022722.6  2MASX J09231802-0227222       1091496    5609  ---    (R2P)        SAB       (l)           S0/a   0  0.50  (R2P)SAB(l)0/a
092318.69   +013459.2  CGCG 006-037                    26589   17783  0.026  (R1R2P)      SA_B_a    (_irpl)       Sa     1  0.75  (R1R2P)SA_B_a(_irpl)a
092322.27   +223748.9  IC 2464                         26585  150397  0.032               SA        (rs)          Sa     1  0.00  SA(rs)a pec
092323.21   +530325.2  2MASX J09232319+5303250       3133780  194465  0.074  (R2P)        S_AB_a    (l)           Sb     3  0.25  (R2P)S_AB_a(l)b:
092337.75   +400429.9  2MASX J09233775+4004299       3097903   52535  0.032  (R)          S_AB      (l)           S0/a   0  0.25  (R)S_AB(l)0/a
092348.94   +244853.2  CGCG 121-077                    26623  148579  0.027  (R1)         SAB_a     (irpl)        S0/a   0  0.50  (R1)SAB_a(irpl)0/a
092413.77   +513028.9  CGCG 265-012                    26634   34631  0.025  (R)          SA        (rl)          S0+   -1  0.00  (R)SA(rl)0^+^
092416.68   +542449.8  2MASX J09241666+5424497       2468913  193391  0.066  (RL)         SAB                     S0/a   0  0.50  (RL)SAB0/a:
092418.53   +343048.6  NGC 2859                        26649   84158  0.006  (R)          SAB_a     (ir_l,bl)     S0+   -1  0.50  (R)SAB_a(ir_l,bl)0^+^
092419.50   +141406.3  2MASX J09241946+1414067       3741768  173208  0.141  (RP)         SAB       (s)           Sb     3  0.50  (RP)SAB(s)b
092421.75   +403727.7  CGCG 209-063                    26651   54728  0.028  (RL)         SAB       (r)           S0/a   0  0.50  (RL)SAB(r)0/a
092438.61   -020714.4  2MASX J09243860-0207145       1101193    5811  ---    (R2P)        SAB       (l)           Sa     1  0.50  (R2P)SAB(l)a
092533.26   +044053.7  2MASX J09253329+0440534       1271693   56537  0.063  (RP)         SAB       (l)           Sa     1  0.50  (RP)SAB(l)a
092603.29   +124403.6  UGC 05025                       26753  188515  0.029  (R)          SA        (r)           S0+   -1  0.00  (R)SA(r)0^+^
092610.99   +380745.4  2MASX J09261103+3807452       2118619   73217  0.069  (R1P)        SAB       (s)           Sa     1  0.50  (R1P)SAB(s)a:
092617.14   +304907.1  2MASX J09261713+3049071       1919385  115051  0.075  (RL:)        SB        (r,bl)        Sab    2  1.00  (RL:)SB(r,bl)ab:
092631.32   +282258.4  2MASX J09263129+2822578       1834199  118496  0.033  (RL)         SAB       (_rs)         Sb     3  0.50  (RL)SAB(_rs)b
092633.43   +480041.7  2MASX J09263342+4800415       2308766   49788  0.042               SB_a      (_rs)         Sa     1  1.00  SB_a(_rs)a
092633.72   +212306.1  IC 2472                         26779  235733  0.026  (RP:)        SB        (_rs)         Sbc    4  1.00  (RP:)SB(_rs)bc
092636.06   +622431.9  CGCG 312-010                    26782  105515  0.025               SA        (r)           S0+   -1  0.00  SA(r)0^+^ sp / E3
092636.99   +220517.1  CGCG 121-094                    26784  149592  0.026  (RP)         SA        (i_rl)        S0/a   0  0.00  (RP)SA(i_rl)0/a
092651.06   +561459.5  2MASX J09265100+5614598       3135354  190573  0.152  (R)          SA                      S0+   -1  0.00  (R)SA0^+^
092702.09   +210838.6  2MASX J09270203+2108381       1643729  156864  0.059  (R1P)        S_AB      (r)           Sab    2  0.25  (R1P)S_AB(r)ab:
092710.75   +550447.2  2MASX J09271072+5504474       2489850  194871  0.123               SA        (rs)          Sab    2  0.00  SA(rs)ab
092718.51   +230112.4  NGC 2885                        26811  150410  0.026  (RL)         SA        (_rs)         S0/a   0  0.00  (RL)SA(_rs)0/a pec
092723.50   +302626.9  IC 2473                         26817  114686  0.027  (R1P)        SB        (r,bl)        Sab    2  1.00  (R1P)SB(r,bl)ab
092725.41   +061512.9  2MASX J09272537+0615126       1297247   60605  0.076               S_AB      (_rs)         Sa     1  0.25  S_AB(_rs)a:
092754.33   +294730.7  IC 2475                         26851  119031  0.035  (RPL)        SAB_a     (s)           S0/a   0  0.50  (RPL)SAB_a(s)0/a
092801.19   +301154.2  2MASX J09280114+3011544       1894168  121375  0.027               SAB       (rl)          S0o   -2  0.50  SAB(rl)0^o
092808.72   +192418.3  2MASX J09280870+1924181       1591106  160709  0.145  (RP)         SA        (s)           Sc     5  0.00  (RP)SA(s)c:
092812.71   +121409.2  2MASX J09281273+1214093       1406011  187224  0.104  (RP)         S_AB      (rs)          Sb     3  0.25  (RP)S_AB(rs)b: pec
092840.76   +123702.3  CGCG 062-038                    26898  187438  0.028  (RL)         SB_a0^+^                S0+   -1  1.00  (RL)SB_a0^+
092844.16   +134915.8  2MASX J09284418+1349155       1441478  188975  0.049  (R1P)        SB        (rs)          Sab    2  1.00  (R1P)SB(rs)ab
092916.45   +550320.3  SBS 0925+552                    26917  193398  0.058  (RP)         SA_B      (s)           Sd     7  0.75  (RP)SA_B(s)d
092932.84   +392131.7  2MASX J09293284+3921315         26941   73787  0.058  (_RL)        SA        (l)           S0+   -1  0.00  (_RL)SA(l)0^+^
092935.50   +033106.0  2MASX J09293554+0331058       1253763  195924  0.059  (R)          SAB       (l)           S0/a   0  0.50  (R)SAB(l)0/a
092941.17   +021220.0  LSBC F851-14                      ---   22558  0.021  (R)          SA        (s)           S0/a   0  0.00  (R)SA(s)0/a
092947.57   +353151.6  2MASX J09294755+3531516       2065962   77625  0.053  (R)          SB_a      (s)           S0+   -1  1.00  (R)SB_a(s)0^+^
092947.78   +222838.5  2MASX J09294775+2228379       1670629  151804  0.127  (R1P)        SAB       (l)           Sb     3  0.50  (R1P)SAB(l)b:
092950.98   +125016.8  2MASX J09295098+1250164       1417170  187447  0.071               SB        (r,bl)        Sab    2  1.00  SB(r,bl)ab:
092951.97   +072551.4  2MASX J09295194+0725509       1321618   62299  0.073               SA        (r:)          Sab    2  0.00  SA(r:)ab
092952.84   +142706.1  2MASX J09295279+1427054       1458473  173218  0.051  (RP)         SAB_a     (s)           Sab    2  0.50  (RP)SAB_a(s)ab
093004.26   +084658.4  VIII Zw 048                     26961   79354  0.021  (R2P)        SAB_a     (r)           S0/a   0  0.50  (R2P)SAB_a(r)0/a pec
093004.67   +441422.0  2MASX J09300463+4414219       2239829   51014  0.041  (R1)         SAB       (_rs)         S0/a   0  0.50  (R1)SAB(_rs)0/a
093043.11   +255224.5  2MASX J09304313+2552239       1753174  148709  0.072  (R1P)        SAB       (_rs)         Sab    2  0.50  (R1P)SAB(_rs)ab
093053.39   +254458.0  CGCG 122-010                    27005  148704  0.024               SAB       (rs,l)        Sb     3  0.50  SAB(rs,l)b
093106.76   +490447.1  SBS 0927+493                    27014   49936  0.034  (L,R)        S                       S0/a   0  1.00  (L,R)SB_a0/a
093107.15   +641442.1  2MASX J09310699+6414418       3743207  107094  0.119               SA        (r)           Sb     3  0.00  SA(r)b:
093111.09   +523806.9  CGCG 265-023                    27020   34992  0.024  (R1P)        SB        (_rs,bl)      Sa     1  1.00  (R1P)SB(_rs,bl)a
093111.73   +051252.4  2MASX J09311172+0512527       3458419   56852  0.074  (RP)         SAB_a     (l)           Sb     3  0.50  (RP)SAB_a(l)b:
093131.42   +262847.4  2MASX J09313140+2628473       1777853  123226  0.074  (R2P)        SAB_a     (s)           Sbc    4  0.50  (R2P)SAB_a(s)bc
093136.49   +065708.6  CGCG 034-058                    27042   74035  0.032  (RP)         SA        (_rs)         Sb     3  0.00  (RP)SA(_rs)b
093137.78   +013413.8  2MASX J09313774+0134137        135725   17801  0.058  (RP)         S_AB      (l)           Sbc    4  0.25  (RP)S_AB(l)bc
093143.80   +333546.4  2MASX J09314380+3335467       3530459  206747  0.042  (R2P)        SAB       (s)           Sa     1  0.50  (R2P)SAB(s)a
093210.26   +364937.7  2MASX J09321021+3649381       3530525   78043  0.053  (RP)         SA        (l)           S0/a   0  0.00  (RP)SA(l)0/a
093232.95   +444123.3  2MASX J09323292+4441229       3440756  204657  0.134               SAB                     Sb     3  0.25  SAB(r)b or (R)S_AB(l)b
093236.89   +414619.0  UGC 05080                       27093   52664  0.040  (RP)         SA        (l)           S0/a   0  0.00  (RP)SA(l)0/a
093237.17   +604653.5  2MASX J09323717+6046534       2606789   12619  0.102  (RL)         SA        (l)           S0+   -1  0.00  (RL)SA(l)0^+^
093250.43   +561320.4  2MASX J09325040+5613206       2529726  194987  0.065  (RP)         SAB_a     (l)           Sb     3  0.50  (RP)SAB_a(l)b
093258.90   +675210.1  2MASX J09325890+6752096       2707508  109504  0.022               SB        (r)           S0/a   0  1.00  SB(r)0/a [c]
093304.10   +035730.1  2MASX J09330409+0357302       1261301  196351  0.089  (R)          SB        (r)           Sa     1  1.00  (R)SB(r)a
093306.80   +574916.9  2MASX J09330678+5749173       2571436  191482  0.084  (RP:)        SB        (p,_rs)       Sb     3  1.00  (RP:)SB(p,_rs)b
093332.01   +143504.4  ARK 203                         27145  173223  0.020               SA        (r)           Sab    2  0.00  SA(r)ab
093355.88   +053936.4  2MASX J09335587+0539368       3458721   57137  0.111  (R2P)        SAB_a     (l)           Sab    2  0.50  (R2P)SAB_a(l)ab:
093500.05   +303420.6  2MASX J09350005+3034205       1909076  119042  0.078  (R2P)        SB_a      (s)           Sa     1  1.00  (R2P)SB_a(s)a
093511.06   +271538.2  2MASX J09351108+2715386       3744043  123471  0.046  (R1P)        SA_B      (r,bl)        Sa     1  0.75  (R1P)SA_B(r,bl)a
093521.21   +652328.1  VII Zw 284                      27265  106322  0.038               SAB       (r)           S0+   -1  0.50  SAB(r)0^+^
093532.85   +535729.4  2MASX J09353284+5357290       2455701  194391  0.048               SB        (_rs,bl)      Sb     3  1.00  SB(_rs,bl)b:
093553.36   +022430.4  2MASX J09355334+0224300       1225982   19137  0.073  (R)          SA        (rl)          S0+   -1  0.00  (R)SA(rl)0^+^
093559.59   -013938.5  2MASX J09355957-0139385       1113413   29477  ---    (RL)         S_AB      (l)           S0+   -1  0.25  (RL)S_AB(l)0^+^
093623.38   +432345.1  2MASX J09362341+4323451       2219755   50403  0.082  (R1)         SAB       (rl,bl)       S0/a   0  0.50  (R1)SAB(rl,bl)0/a
093631.00   +271227.8  2MASX J09363100+2712277       1801003  125878  0.031  (R1P)        SAB_a     (_rs)         Sab    2  0.50  (R1P)SAB_a(_rs)ab
093644.66   +350130.2  2MASX J09364461+3501297       3530999  207119  0.053  (R1P)        SAB       (rl)          Sa     1  0.50  (R1P)SAB(rl)a
093658.58   +144218.2  2MASX J09365857+1442181       1464991  186276  0.040               S_AB      (r)           S0+   -1  0.25  S_AB(r)0^+^
093658.64   +080448.3  SDSS J093658.64+080448.6          ---   62820  0.105  (R)          SAB                     S0+   -1  0.50  (R)SAB0^+^:
093701.74   -021300.5  2MASX J09370169-0213004       1098404    5834  ---    (RP)         SAB                     Sab    2  0.50  (RP)SABab:
093720.78   +385335.2  2MASX J09372076+3853353       2138999   72968  0.061  (R1R2P)      SAB_a     (l)           Sab    2  0.50  (R1R2P)SAB_a(l)ab
093729.45   +162733.0  2MASX J09372948+1627330       1509268  162207  0.073  (R2P)        SAB       (s)           Sb     3  0.50  (R2P)SAB(s)b:
093736.54   +194251.9  CGCG 092-014                    27407  160442  0.027               SA        (_rs)         S0/a   0  0.00  SA(_rs)0/a sp
093753.73   +390220.0  2MASX J09375375+3902202       3459208  239202  0.107  (R)          SA        (l)           S0+   -1  0.00  (R)SA(l)0^+^
093811.19   +264411.4  2MASX J09381122+2644113       1786777  134156  0.043  (R1P)        SA_B      (_rs)         S0/a   0  0.75  (R1P)SA_B(_rs)0/a
093833.58   +443736.2  CGCG 239-014                    27486   50813  0.025  (R1L)        S_AB      (r)           S0/a   0  0.25  (R1L)S_AB(r)0/a
093855.79   +104613.4  2MASX J09385579+1046139       1384230   80241  0.064               SB        (r)           Sb     3  1.00  SB(r)b
093928.58   +664013.7  2MASX J09392855+6640138       3745077  108845  0.059  (R2P)        SAB_a     (irpl)        Sb     3  0.50  (R2P)SAB_a(irpl)b
093930.69   +333136.6  2MASX J09393066+3331367       2033912  116300  0.060  (RP)         SAB                     Sa     1  0.50  (RP)SABa
094030.04   +400515.7  CGCG 210-023                    27610   73551  0.027  (RL)         SAB_a     (_rs,bl)      S0/a   0  0.50  (RL)SAB_a(_rs,bl)0/a
094033.83   +133005.5  2MASX J09403381+1330055       3745370  188539  0.047  (R1)         S_AB      (rl)          S0+   -1  0.25  (R1)S_AB(rl)0^+^
094037.86   +401336.4  2MASX J09403783+4013360       2162630  239925  0.103  (RL)         SAB       (l)           Sb     3  0.50  (RL)SAB(l)b:
094053.93   +050956.9  NGC 2962                        27635   59486  0.007  (R2P)        SAB       (irpl)        Sa     1  0.50  (R2P)SAB(irpl)a
094124.63   +275342.9  IC 2499                           ---  126628  0.033  (R1R2P)      SAB_a     (l)           Sa     1  0.50  (R1R2P)SAB_a(l)a
094149.51   +250348.9  2MASX J09414952+2503491       3745710  151100  0.051               SA        (_rs)         Sab    2  0.00  SA(_rs)ab
094204.79   +234106.9  CGCG 122-055                    27720  150005  0.021  (R1)         SA_B_a    (l)           S0/a   0  0.75  (R1)SA_B_a(l)0/a
094223.28   +315135.4  2MASX J09422327+3151348       1968142  114701  0.077  (R1P)        SAB_a     (irpl)        Sa     1  0.50  (R1P)SAB_a(irpl)a
094235.15   +585104.6  NGC 2950                        27765  191488  0.004  (RL)         SB_a      (l)           S0+   -1  1.00  (RL)SB_a(l)0^+^
094235.74   +590618.2  2MASX J09423568+5906173       3136724    7107  0.133               SA        (r)           S0/a   0  0.00  SA(r)0/a: pec
094243.46   -005202.0  2MASX J09424349-0052018       1132703  241616  0.068  (R2P)        SAB       (l)           S0/a   0  0.50  (R2P)SAB(l)0/a
094244.64   +094739.5  2MASX J09424463+0947399       1370171   76892  0.059  (RP:)        SAB       (r)           Sa     1  0.50  (RP:)SAB(r)a
094254.14   +540657.6  2MASX J09425411+5406577       2460222   28155  0.047               SAB       (_rs)         Sa     1  0.50  SAB(_rs)a
094258.62   +255906.2  CGCG 122-059                    27783  148486  0.042  (R1P)        SA_B      (r)           Sa     1  0.75  (R1P)SA_B(r)a
094315.40   +350937.9  MCG +06-22-002                  27811  206930  0.050  (RP:)        SAB       (_rs,nl)      Sa     1  0.50  (RP:)SAB(_rs,nl)a
094315.93   +273100.5  2MASX J09431592+2731002       3746091  123234  0.122  (RL)         SA        (l)           S0+   -1  0.00  (RL)SA(l)0^+^
094341.14   +151425.7  2MASX J09434117+1514257       1479224  173240  0.077  (R)          SA                      S0+   -1  0.00  (R)SA0^+^ or SA(r)0^+
094347.63   +495350.6  2MASX J09434770+4953499       3460090   49801  0.076  (RP)         SB        (r,bl)        Sab    2  1.00  (RP)SB(r,bl)ab
094347.94   +262226.6  2MASX J09434794+2622264       1773791  148603  0.181               SA        (r)           S0/a   0  0.00  SA(r)0/a:
094452.35   +082529.6  2MASX J09445232+0825296       3460256   62835  0.084  (R)          SA        (l)           S0/a   0  0.00  (R)SA(l)0/a
094512.77   +271507.2  IC 2506                         27940  134167  0.033  (R1P)        SAB_a     (_rs,bl)      Sa     1  0.50  (R1P)SAB_a(_rs,bl)a
094541.26   +234027.9  CGCG 122-070                    27976  151822  0.022               SB        (rs)          Sbc    4  1.00  SB(rs)bc
094600.35   +222248.7  WAS 02                            ---  235556  0.034  (R)          SAB       (l)           S0+   -1  0.50  (R)SAB(l)0^+^
094609.71   +172444.0  SDSS J094609.71+172444.0      3746765  162868  ---                 ........                ....  99  9.99  RG
